"loan_id","account_id","balance","status","payments","ratio","date","amount","duration"
4959,2,32590.6240740741,1,3373,0.103496023651883,940105,80952,24
4961,19,25197.0925,-1,2523,0.100130600385739,960429,30276,12
4973,67,52523.2448,1,6915,0.131655993957175,960502,165960,24
4996,132,62778.0903225806,1,7370,0.117397645613777,961106,88440,12
5002,173,38709.83,1,8734,0.225627443985158,940531,104808,12
5032,290,49084.3819672131,1,2577,0.0525014250300912,941103,123696,48
5044,344,35614.7442857143,1,1683,0.0472557092225166,941221,100980,60
5045,347,42084.3113636364,-1,7801,0.185365989064053,950501,187224,24
5060,426,57340.5081967213,-1,4201,0.0732640873287588,940719,252060,60
5082,501,41729.6160714286,1,4383,0.105033317164903,961024,262980,60
5088,544,44829.5441558442,1,3798,0.0847209150018733,960822,91152,24
5125,789,23255.1490196078,1,1522,0.0654478712958024,951123,73056,48
5126,790,36369.975,-1,4336,0.119219218599958,940724,208128,48
5128,808,21447.6245901639,-1,4492,0.209440443211603,960411,215616,48
5130,813,29380.8397435897,1,2026,0.0689565042279647,940511,24312,12
5131,816,63857.2367521367,1,2026,0.031727022700089,950108,48624,24
5132,817,33687.8586206897,1,8975,0.266416458851081,950217,538500,60
5136,846,66292.372,1,7796,0.117600257236232,960728,187104,24
5138,854,30847.1493243243,1,1817,0.0589033359580886,950530,87216,48
5145,915,56105.5,1,6449,0.114944167684095,950916,309552,48
5148,940,64182.6414893617,1,4738,0.0738205827939526,960529,284280,60
5151,960,72242.8966666667,1,3151,0.0436167449727122,950524,189060,60
5160,1011,37809.3984615385,1,3400,0.0899247313722445,951218,204000,60
5161,1012,41660.3928571429,1,4091,0.0981987859314817,941028,98184,24
5170,1071,47302.5463414634,1,4220,0.0892129563076169,940120,253200,60
5176,1106,23979.0117647059,-1,8023,0.334584263885673,941112,192552,24
5189,1166,36845.5888888889,1,3105,0.0842706031748712,940207,149040,48
5208,1247,46341.2935185185,-1,2077,0.0448196380010413,950316,99696,48
5209,1250,37802.23,1,3805,0.10065543752313,961125,182640,48
5212,1256,34577.3023255814,1,1974,0.0570894739390809,950529,71064,36
5237,1375,48152.9533333333,1,1889,0.039229161852724,950829,45336,24
5269,1527,41752.1615384615,-1,4557,0.109144049842836,941119,164052,36
5282,1583,21371.32,-1,8094,0.378731870562979,960824,388512,48
5285,1603,25900.3196078431,1,6578,0.253973699923303,940206,78936,12
5301,1698,32592.68,1,3943,0.120978084649682,960706,141948,36
5310,1762,36063.7883333333,1,6893,0.191133553033553,950428,248148,36
5311,1766,37213.4075268817,1,501,0.0134628896759345,960615,30060,60
5312,1772,57124.2683544304,1,5633,0.098609578070213,960313,202788,36
5314,1787,12250,-1,8033,0.655755102040816,930705,96396,12
5316,1801,52083.8594594595,1,4610,0.0885111058942989,930711,165960,36
5319,1811,40061.5804347826,1,3991,0.0996216314155919,940623,239460,60
5325,1843,41297.48,1,2939,0.0711665699698868,930803,105804,36
5329,1862,58855.2778947368,1,6602,0.112173457269333,961016,396120,60
5337,1886,51279.5533333333,1,4513,0.0880077868592979,960731,162468,36
5350,1967,35914.855,1,5194,0.144619823747026,960421,249312,48
5351,1978,58336.311627907,1,5700,0.0977092970216723,941204,205200,36
5352,1993,31793.7357142857,-1,5700,0.179280599525109,950415,68400,12
5366,2062,60273.6785714286,1,7182,0.119156490365671,961029,86184,12
5375,2106,26449.0921052632,1,8460,0.319859750434176,961003,101520,12
5385,2143,49220.9806451613,1,1985,0.0403283310080726,960909,71460,36
5388,2153,32967.7126760563,1,5130,0.155606791724007,961128,61560,12
5390,2167,40091.1831168831,1,7094,0.176946636354381,941030,170256,24
5395,2176,51992.8547619048,-1,8308,0.159791187424609,940730,299088,36
5409,2218,67475.9016949153,1,3034,0.0449642009041671,951118,182040,60
5413,2227,50436.4660550459,1,3874,0.0768095051658051,951212,92976,24
5414,2228,50113.1941176471,1,3874,0.0773049905959955,950329,185952,48
5415,2236,31532.7483870968,-1,3874,0.122856401619126,960926,139464,36
5418,2245,54157.1941666667,1,7249,0.133851099776172,950116,347952,48
5429,2268,52636.5989583333,1,561,0.0106579834393191,960718,20196,36
5445,2322,43657.8134831461,1,1930,0.0442074361040795,960629,46320,24
5449,2343,27019.5711538462,1,4139,0.153185258804925,951104,99336,24
5450,2345,33658.6175675676,1,3328,0.0988751244259883,941211,199680,60
5452,2352,47798.8654545455,1,824,0.0172389028937012,960429,49440,60
5453,2361,22927.5026666667,1,4352,0.189815701398966,950401,156672,36
5464,2419,59701.7866666667,1,7984,0.133731341150259,950130,95808,12
5470,2456,47938.0657142857,1,4187,0.0873418636653973,960415,200976,48
5479,2486,55582.2260273973,1,2043,0.036756354432314,940110,24516,12
5482,2496,24377.3715517241,1,2752,0.112891580380632,960112,165120,60
5494,2572,51149.6551470588,1,7500,0.146628554551091,960613,360000,48
5495,2580,39644.7636363636,1,1489,0.0375585541045888,960802,89340,60
5519,2694,40976.9428571429,1,7636,0.186348699233646,940308,91632,12
5523,2705,37510.4947368421,1,2608,0.0695272088064056,931208,93888,36
5533,2762,65097.2243421053,1,4641,0.0712933623039005,940705,111384,24
5549,2824,37570.6279069767,1,841,0.022384507442417,940716,50460,60
5563,2912,64777.0752293578,1,6336,0.0978123815804583,960229,380160,60
5568,2933,44602.6416666667,1,4542,0.101832533461677,940517,272520,60
5576,2962,64493.0991666667,1,2604,0.0403764128821069,941221,31248,12
5586,2994,42930.2071428571,1,1354,0.0315395636339314,960914,48744,36
5591,3021,39426.07,1,3242,0.0822298545099727,961204,155616,48
5593,3037,46487.0025641026,-1,7719,0.166046412421537,960418,277884,36
5595,3050,57141.730952381,1,6908,0.120892382587373,940902,82896,12
5599,3064,24577.2,1,1285,0.0522842309132041,950321,15420,12
5606,3084,37095.8448275862,-1,7042,0.189832581862733,960828,253512,36
5610,3112,70622.83359375,1,2567,0.0363480176222662,960224,123216,48
5611,3115,40524.4631578947,1,5353,0.132093051526511,961115,321180,60
5624,3166,26746.5252631579,-1,3703,0.138447890466756,950103,177744,48
5625,3189,55230.4440677966,-1,3703,0.0670463557282734,961215,222180,60
5635,3230,50722.2701298701,1,2144,0.0422694014780976,961004,77184,36
5657,3354,30533.3717391304,1,415,0.013591685960714,940705,4980,12
5693,3489,36548.81875,1,1837,0.0502615423104475,950801,44088,24
5706,3608,33219.9,1,4486,0.135039539553099,960524,161496,36
5713,3629,24908.7614457831,1,2646,0.106227682406423,950530,158760,60
5723,3674,47420.8418181818,1,1969,0.0415218272073158,940910,23628,12
5724,3678,18632.9338129496,-1,5269,0.282778871695348,950205,316140,60
5725,3679,32404.7734375,1,9268,0.286007245749626,960723,444864,48
5739,3747,26122.8488888889,1,6365,0.243656426107004,950102,76380,12
5740,3752,35538.0461538462,1,1547,0.0435308118319998,950402,18564,12
5741,3754,44948.6259259259,1,2856,0.0635392059527383,961103,68544,24
5750,3804,49291.8225609756,1,5271,0.106934573041595,960208,63252,12
5754,3834,23771.9660818713,1,1921,0.0808094708441035,940928,23052,12
5804,4079,49916.091025641,1,3312,0.0663513494736333,950405,158976,48
5805,4081,26886.1916666667,-1,5746,0.213715652675491,951128,137904,24
5836,4259,63494.2,1,3318,0.0522567415606465,940827,79632,24
5837,4260,38426.7285714286,1,4076,0.106072001222363,940629,244560,60
5861,4337,52299.2859375,1,2142,0.0409565821330675,941208,51408,24
5876,4413,37596.9323943662,1,4610,0.122616386668046,950208,221280,48
5877,4414,22360.5366071429,1,4051,0.181167387490421,950223,97224,24
5880,4423,55315.1684210526,1,2051,0.0370784372269831,951031,73836,36
5882,4427,25533.2142857143,1,7318,0.286607080413467,940926,87816,12
5886,4447,62590.4230769231,1,5354,0.0855402430084229,961031,192744,36
5887,4448,37265.6552631579,1,5354,0.143671162151633,941003,192744,36
5892,4462,34798.28,-1,2770,0.0796016354831331,960514,66480,24
5897,4476,29941.9053254438,1,633,0.0211409391994201,960925,15192,24
5900,4503,64881.3142857143,1,2820,0.0434639777422159,960101,135360,48
5918,4576,34084.4605633803,1,8339,0.244656945193355,940604,300204,36
5922,4580,41077.6352941176,1,1685,0.0410198880226509,950805,20220,12
5923,4585,25896.4666666667,1,1347,0.0520148179803165,961010,64656,48
5938,4650,21568.9351851852,1,6700,0.310631931640369,960825,402000,60
5959,4727,50214.5043478261,1,4485,0.0893168230623821,950811,107640,24
5970,4774,27778.745631068,1,9689,0.348791847143873,950709,465072,48
5980,4825,30812.9461538462,1,1783,0.0578652878922271,950818,21396,12
5988,4851,45100.4222222222,1,5902,0.130863519878355,960822,141648,24
5989,4852,27951.913559322,1,5925,0.211971176407134,960304,213300,36
5997,4894,44131.1692307692,1,4876,0.110488801565682,931104,117024,24
5999,4907,31814.2683615819,1,2059,0.0647193886905913,960103,98832,48
6004,4937,49727.4561151079,1,5996,0.120577251852993,940723,143904,24
6006,4948,32434.69375,1,5996,0.184863777232366,961115,359760,60
6011,4981,44093.9711538462,1,3736,0.0847281363469147,961128,179328,48
